STATION NUMBER,TYPE,SOURCE VARIABLE,OUTPUT VARIABLE,DATE,TIME,RAINFALL (in),SOURCE
640275,Daily Total,11.16,11,1/2/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/3/1985,0:00:00,0.15,03A
640275,Daily Total,11.16,11,1/4/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/5/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/6/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/7/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/8/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/9/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/10/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/11/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/12/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/13/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/14/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/15/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/16/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/17/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/18/1985,0:00:00,0.11,03A
640275,Daily Total,11.16,11,1/19/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/20/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/21/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/22/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/23/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/24/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/25/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/26/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/27/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/28/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/29/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/30/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,1/31/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/1/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/2/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/3/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/4/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/5/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/6/1985,0:00:00,0.49,03A
640275,Daily Total,11.16,11,2/7/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/8/1985,0:00:00,0.02,03A
640275,Daily Total,11.16,11,2/9/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/10/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/11/1985,0:00:00,0.17,03A
640275,Daily Total,11.16,11,2/12/1985,0:00:00,0.05,03A
640275,Daily Total,11.16,11,2/13/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/14/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/15/1985,0:00:00,0.05,03A
640275,Daily Total,11.16,11,2/16/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/17/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/18/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/19/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/20/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/21/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/22/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/23/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/24/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/25/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/26/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/27/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,2/28/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/1/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/2/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/3/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/4/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/5/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/6/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/7/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/8/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/9/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/10/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/11/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/12/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/13/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/14/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/15/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/16/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/17/1985,0:00:00,0.2,03A
640275,Daily Total,11.16,11,3/18/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/19/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/20/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/21/1985,0:00:00,1.2,03A
640275,Daily Total,11.16,11,3/22/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/23/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/24/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/25/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/26/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/27/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/28/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/29/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/30/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,3/31/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/1/1985,0:00:00,0.02,03A
640275,Daily Total,11.16,11,4/2/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/3/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/4/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/5/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/6/1985,0:00:00,0.77,03A
640275,Daily Total,11.16,11,4/7/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/8/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/9/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/10/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/11/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/12/1985,0:00:00,0.05,03A
640275,Daily Total,11.16,11,4/13/1985,0:00:00,0.72,03A
640275,Daily Total,11.16,11,4/14/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/15/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/16/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/17/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/18/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/19/1985,0:00:00,0.01,03A
640275,Daily Total,11.16,11,4/20/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/21/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/22/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/23/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/24/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/25/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/26/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/27/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/28/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/29/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,4/30/1985,0:00:00,0.1,03A
640275,Daily Total,11.16,11,5/1/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/2/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/3/1985,0:00:00,0.22,03A
640275,Daily Total,11.16,11,5/4/1985,0:00:00,0.37,03A
640275,Daily Total,11.16,11,5/5/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/6/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/7/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/8/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/9/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/10/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/11/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/12/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/13/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/14/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/15/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/16/1985,0:00:00,0.15,03A
640275,Daily Total,11.16,11,5/17/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/18/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/19/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/20/1985,0:00:00,2.05,03A
640275,Daily Total,11.16,11,5/21/1985,0:00:00,0.05,03A
640275,Daily Total,11.16,11,5/22/1985,0:00:00,0.04,03A
640275,Daily Total,11.16,11,5/23/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/24/1985,0:00:00,0.15,03A
640275,Daily Total,11.16,11,5/25/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/26/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/27/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/28/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/29/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/30/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,5/31/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,6/1/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,6/2/1985,0:00:00,0.1,03A
640275,Daily Total,11.16,11,6/3/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,6/4/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,6/5/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,6/6/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,6/7/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,6/8/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,6/9/1985,0:00:00,0.05,03A
640275,Daily Total,11.16,11,6/10/1985,0:00:00,0.32,03A
640275,Daily Total,11.16,11,6/11/1985,0:00:00,0.51,03A
640275,Daily Total,11.16,11,6/12/1985,0:00:00,0.71,03A
640275,Daily Total,11.16,11,6/13/1985,0:00:00,0.83,03A
640275,Daily Total,11.16,11,6/14/1985,0:00:00,0.18,03A
640275,Daily Total,11.16,11,6/15/1985,0:00:00,0.54,03A
640275,Daily Total,11.16,11,6/16/1985,0:00:00,0.01,03A
640275,Daily Total,11.16,11,6/17/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,6/18/1985,0:00:00,0.5,03A
640275,Daily Total,11.16,11,6/19/1985,0:00:00,0.16,03A
640275,Daily Total,11.16,11,6/20/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,6/21/1985,0:00:00,0.16,03A
640275,Daily Total,11.16,11,6/22/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,6/23/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,6/24/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,6/25/1985,0:00:00,0.91,03A
640275,Daily Total,11.16,11,6/26/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,6/27/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,6/28/1985,0:00:00,0.59,03A
640275,Daily Total,11.16,11,6/29/1985,0:00:00,0.86,03A
640275,Daily Total,11.16,11,6/30/1985,0:00:00,0.16,03A
640275,Daily Total,11.16,11,7/1/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/2/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/3/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/4/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/5/1985,0:00:00,0.1,03A
640275,Daily Total,11.16,11,7/6/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/7/1985,0:00:00,0.34,03A
640275,Daily Total,11.16,11,7/8/1985,0:00:00,0.01,03A
640275,Daily Total,11.16,11,7/9/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/10/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/11/1985,0:00:00,0.85,03A
640275,Daily Total,11.16,11,7/12/1985,0:00:00,1.63,03A
640275,Daily Total,11.16,11,7/13/1985,0:00:00,0.01,03A
640275,Daily Total,11.16,11,7/14/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/15/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/16/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/17/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/18/1985,0:00:00,2.2,03A
640275,Daily Total,11.16,11,7/19/1985,0:00:00,0.1,03A
640275,Daily Total,11.16,11,7/20/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/21/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/22/1985,0:00:00,1.65,03A
640275,Daily Total,11.16,11,7/23/1985,0:00:00,0.05,03A
640275,Daily Total,11.16,11,7/24/1985,0:00:00,0.12,03A
640275,Daily Total,11.16,11,7/25/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/26/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/27/1985,0:00:00,1.59,03A
640275,Daily Total,11.16,11,7/28/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/29/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/30/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,7/31/1985,0:00:00,0.97,03A
640275,Daily Total,11.16,11,8/1/1985,0:00:00,0.02,03A
640275,Daily Total,11.16,11,8/2/1985,0:00:00,0.17,03A
640275,Daily Total,11.16,11,8/3/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,8/4/1985,0:00:00,0.12,03A
640275,Daily Total,11.16,11,8/5/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,8/6/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,8/7/1985,0:00:00,0.35,03A
640275,Daily Total,11.16,11,8/8/1985,0:00:00,0.25,03A
640275,Daily Total,11.16,11,8/9/1985,0:00:00,0.15,03A
640275,Daily Total,11.16,11,8/10/1985,0:00:00,0.19,03A
640275,Daily Total,11.16,11,8/11/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,8/12/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,8/13/1985,0:00:00,0.94,03A
640275,Daily Total,11.16,11,8/14/1985,0:00:00,0.52,03A
640275,Daily Total,11.16,11,8/15/1985,0:00:00,0.46,03A
640275,Daily Total,11.16,11,8/16/1985,0:00:00,0.43,03A
640275,Daily Total,11.16,11,8/17/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,8/18/1985,0:00:00,0.14,03A
640275,Daily Total,11.16,11,8/19/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,8/20/1985,0:00:00,1.26,03A
640275,Daily Total,11.16,11,8/21/1985,0:00:00,0.48,03A
640275,Daily Total,11.16,11,8/22/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,8/23/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,8/24/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,8/25/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,8/26/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,8/27/1985,0:00:00,1.12,03A
640275,Daily Total,11.16,11,8/28/1985,0:00:00,0.15,03A
640275,Daily Total,11.16,11,8/29/1985,0:00:00,0.61,03A
640275,Daily Total,11.16,11,8/30/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,8/31/1985,0:00:00,0.41,03A
640275,Daily Total,11.16,11,9/1/1985,0:00:00,1.51,03A
640275,Daily Total,11.16,11,9/2/1985,0:00:00,0.03,03A
640275,Daily Total,11.16,11,9/3/1985,0:00:00,0,03A
640275,Daily Total,11.16,11,9/4/1985,0:00:00,0.46,03A
640275,Daily Total,11.16,11,9/5/1985,0:00:00,0.18,03A
